,phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,size,serial_no,similarity_score
0,8467088,https://beneficioauxbrasil.com,http://www.phishtank.com/phish_detail.php?phish_id=8467088,2024-02-26T11:54:37+00:00,yes,2024-02-26T12:03:08+00:00,yes,Other,246,1,0.07084481374724388
1,8467085,https://secure-ads-manage.miracle-chain.com/bussines-service/,http://www.phishtank.com/phish_detail.php?phish_id=8467085,2024-02-26T11:51:17+00:00,yes,2024-02-26T12:03:08+00:00,yes,Facebook,810,2,0.13950743977909025
18,8467054,https://pub-3ef4c4f0dccc42ab9f9604f18c4b3622.r2.dev/3LO0A8USVF7.html,http://www.phishtank.com/phish_detail.php?phish_id=8467054,2024-02-26T11:27:14+00:00,yes,2024-02-26T11:42:35+00:00,yes,Other,14108,19,0.027111009583636977
19,8467053,https://googleweblight.com/i?u=https://pub-3ef4c4f0dccc42ab9f9604f18c4b3622.r2.dev/3LO0A8USVF7.html,http://www.phishtank.com/phish_detail.php?phish_id=8467053,2024-02-26T11:27:13+00:00,yes,2024-02-26T11:42:35+00:00,yes,Other,14108,20,0.027111009583636977
21,8467042,https://00-ird.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=8467042,2024-02-26T11:01:29+00:00,yes,2024-02-26T11:12:14+00:00,yes,Other,34304,22,0.3322669145396649
22,8467039,http://csgopixel.com,http://www.phishtank.com/phish_detail.php?phish_id=8467039,2024-02-26T10:43:55+00:00,yes,2024-02-26T10:52:23+00:00,yes,Steam,22301,23,0.2152219629600123
25,8467037,https://crmbe.com/rtaw/?id=2,http://www.phishtank.com/phish_detail.php?phish_id=8467037,2024-02-26T10:41:23+00:00,yes,2024-02-26T11:03:19+00:00,yes,Other,39,26,0.00680524096483367
26,8467036,https://t.ly/qE3cT,http://www.phishtank.com/phish_detail.php?phish_id=8467036,2024-02-26T10:41:22+00:00,yes,2024-02-26T10:42:27+00:00,yes,Other,57586,27,0.39789294967402117
30,8467031,https://valise.page.link/29hQ,http://www.phishtank.com/phish_detail.php?phish_id=8467031,2024-02-26T10:33:56+00:00,yes,2024-02-26T10:42:27+00:00,yes,Other,310759,31,0.1407941852650867
31,8467030,https://yirra.net/l/1fs7gh,http://www.phishtank.com/phish_detail.php?phish_id=8467030,2024-02-26T10:33:42+00:00,yes,2024-02-26T10:42:27+00:00,yes,Other,221,32,0.008910151955361314
32,8467028,https://t.co/v3ufrQBaTx,http://www.phishtank.com/phish_detail.php?phish_id=8467028,2024-02-26T10:32:51+00:00,yes,2024-02-26T10:42:27+00:00,yes,Other,39,33,0.00680524096483367
33,8467026,https://qrco.de/bepafC,http://www.phishtank.com/phish_detail.php?phish_id=8467026,2024-02-26T10:32:27+00:00,yes,2024-02-26T10:42:27+00:00,yes,Other,6683,34,0.2679409980862224
